AirlineName,AirlineCaption,Website,AmountOfAircraft,Logo
Delta Air Lines,Keep Climbing,https://www.delta.com,915,delta_logo.png
American Airlines,Going for great,https://www.aa.com,950,american_logo.png
Emirates,Fly Better,https://www.emirates.com,260,emirates_logo.png
Singapore Airlines,A Great Way to Fly,https://www.singaporeair.com,150,singapore_logo.png
Thai Airways,Smooth as Silk,https://www.thaiairways.com,60,thai_logo.png
Lufthansa,Say yes to the world,https://www.lufthansa.com,350,lufthansa_logo.png
Qatar Airways,Going Places Together,https://www.qatarairways.com,250,qatar_logo.png
Cathay Pacific,Move Beyond,https://www.cathaypacific.com,150,cathay_logo.png
Air France,France is in the Air,https://www.airfrance.com,210,airfrance_logo.png
Japan Airlines,Fly into Tomorrow,https://www.jal.co.jp,165,jal_logo.png
British Airways,To Fly. To Serve.,https://www.britishairways.com,280,ba_logo.png
KLM Royal Dutch Airlines,Journey of Inspiration,https://www.klm.com,120,klm_logo.png
Turkish Airlines,Widen Your World,https://www.turkishairlines.com,340,turkish_logo.png
Etihad Airways,From Abu Dhabi to the World,https://www.etihad.com,100,etihad_logo.png
