FlightNo,ArrivalAirportID,DepartureAirportID,AirlineName,AircraftRegNo,ArrivalTime,AvailableSeat,DepartTime,TransitAmount
BK123,CNX,BKK,Thai Airways,F-YSZ,2025-11-02 08:00:00,138,2025-11-02 02:00:00,0
BK123,CNX,BKK,Delta Air Lines,F-YSZ,2025-11-02 11:55:00,138,2025-11-02 05:37:00,0
BK123,CNX,BKK,Qatar Airways,F-YSZ,2025-11-02 18:00:00,138,2025-11-02 14:32:00,0
BK123,CNX,BKK,Singapore Airlines,F-YSZ,2025-11-02 04:40:00,138,2025-11-02 01:58:00,0
BK123,CNX,BKK,Cathay Pacific,F-YSZ,2025-11-03 01:00:00,138,2025-11-02 22:23:00,0
BK123,CNX,BKK,United Airlines,F-YSZ,2025-11-02 23:04:00,138,2025-11-02 18:12:00,0
CM123,BKK,CNX,Thai Airways,F-YSZ,2025-11-04 08:00:00,138,2025-11-04 02:00:00,0
CM123,BKK,CNX,Delta Air Lines,F-YSZ,2025-11-04 11:55:00,138,2025-11-04 05:37:00,0
CM123,BKK,CNX,Qatar Airways,F-YSZ,2025-11-04 18:00:00,138,2025-11-04 14:32:00,0
CM123,BKK,CNX,Singapore Airlines,F-YSZ,2025-11-04 04:40:00,138,2025-11-04 01:58:00,0
CM123,BKK,CNX,Cathay Pacific,F-YSZ,2025-11-05 01:00:00,138,2025-11-04 22:23:00,0
CM123,BKK,CNX,United Airlines,F-YSZ,2025-11-04 23:04:00,138,2025-11-04 18:12:00,0
CM123,BKK,CNX,Thai Airways,F-YSZ,2025-11-30 16:12:00,138,2025-11-30 13:44:00,0
CM123,BKK,CNX,Delta Air Lines,F-YSZ,2025-11-30 11:55:00,138,2025-11-30 05:37:00,0
BK123,CNX,BKK,Thai Airways,F-YSZ,2025-11-25 08:00:00,138,2025-11-25 02:00:00,0
BK123,CNX,BKK,Delta Air Lines,F-YSZ,2025-11-25 11:55:00,138,2025-11-25 05:37:00,0
