RegistrationNo,AirlineName,SeatCapacity,ModelName
HS-WOD,Thai Airways,280,Airbus A330
HS-XJF,Thai Airways,350,Boeing 777
HS-KLY,Thai Airways,300,Airbus A350
HS-PAO,Thai Airways,300,Airbus A350
HS-MOV,Thai Airways,280,Airbus A330
HS-LFA,Thai Airways,180,Airbus A320
HS-JRD,Thai Airways,280,Airbus A330
HS-HAX,Thai Airways,180,Airbus A320
HS-LUD,Thai Airways,280,Boeing 787
HS-RJP,Thai Airways,180,Airbus A320
HS-NQK,Thai Airways,280,Boeing 787
HS-FMV,Thai Airways,300,Airbus A350
HS-NWP,Thai Airways,280,Airbus A330
HS-QZK,Thai Airways,300,Airbus A350
HS-BIY,Thai Airways,280,Airbus A330
HS-VCA,Thai Airways,280,Boeing 787
HS-UDJ,Thai Airways,280,Boeing 787
HS-XKD,Thai Airways,280,Airbus A330
HS-OYV,Thai Airways,350,Boeing 777
HS-DAK,Thai Airways,280,Airbus A330
HS-CVT,Thai Airways,280,Boeing 787
HS-UMN,Thai Airways,280,Airbus A330
HS-XEO,Thai Airways,350,Boeing 777
HS-WTP,Thai Airways,190,Boeing 737
HS-HTY,Thai Airways,280,Airbus A330
HS-FZL,Thai Airways,300,Airbus A350
HS-XVN,Thai Airways,190,Boeing 737
HS-AOZ,Thai Airways,280,Airbus A330
HS-ITH,Thai Airways,190,Boeing 737
HS-CFA,Thai Airways,280,Boeing 787
HS-GTO,Thai Airways,190,Boeing 737
HS-TPT,Thai Airways,350,Boeing 777
HS-BMW,Thai Airways,280,Boeing 787
HS-RNT,Thai Airways,280,Boeing 787
HS-XJT,Thai Airways,180,Airbus A320
HS-XQA,Thai Airways,190,Boeing 737
HS-WBK,Thai Airways,180,Airbus A320
HS-UHY,Thai Airways,300,Airbus A350
HS-MMH,Thai Airways,300,Airbus A350
HS-MCE,Thai Airways,190,Boeing 737
B-XRS,Cathay Pacific,280,Boeing 787
NTAP,Delta Air Lines,190,Boeing 737
B-ZMT,Cathay Pacific,280,Boeing 787
9V-KZS,Singapore Airlines,180,Airbus A320
G-NJV,British Airways,190,Boeing 737
G-XHC,British Airways,190,Boeing 737
F-YSZ,Air France,350,Boeing 777
JAHSD,Air France,280,Airbus A330
9V-XNE,Singapore Airlines,350,Boeing 777
9V-NVT,Singapore Airlines,280,Boeing 787
9V-OSF,Singapore Airlines,350,Boeing 777
G-QYK,British Airways,280,Airbus A330
G-UMZ,British Airways,350,Boeing 777
A6-BYB,Emirates,350,Boeing 777
D-AMMT,Lufthansa,280,Boeing 787
A6-WUI,Emirates,180,Airbus A320
A6-FWR,Emirates,280,Airbus A330
HS-GEY,Thai Airways,180,Airbus A320
HS-DNN,Thai Airways,190,Boeing 737
F-RET,Air France,180,Airbus A320
F-VCJ,Air France,190,Boeing 737
D-AHJV,Lufthansa,300,Airbus A350
D-AVIH,Lufthansa,280,Airbus A330
NTXC,United Airlines,280,Boeing 787
NEMM,Delta Air Lines,180,Airbus A320
NFLH,Delta Air Lines,280,Airbus A330
F-AGP,Air France,350,Boeing 777
F-AYA,Air France,180,Airbus A320
D-AYUY,Lufthansa,280,Boeing 787
A7-MKX,Qatar Airways,180,Airbus A320
A7-IAT,Qatar Airways,280,Boeing 787
F-YQH,Air France,280,Airbus A330
F-CYY,Air France,190,Boeing 737
HS-VXQ,Thai Airways,300,Airbus A350
HS-WRA,Thai Airways,300,Airbus A350
JAKYF,ANA,280,Boeing 787
9V-GSN,Singapore Airlines,280,Airbus A330
9V-ZKM,Singapore Airlines,280,Boeing 787
NEOQ,United Airlines,300,Airbus A350
9V-MSN,Singapore Airlines,280,Boeing 787
9V-QXX,Singapore Airlines,280,Airbus A330
JAPIP,ANA,300,Airbus A350
A7-CRS,Qatar Airways,190,Boeing 737
JAXVB,ANA,280,Airbus A330
JAHJY,ANA,190,Boeing 737
JAGLR,ANA,280,Airbus A330
JAEIP,ANA,300,Airbus A350
B-ZEB,Cathay Pacific,280,Boeing 787
A7-STH,Qatar Airways,280,Airbus A330
G-VYL,British Airways,280,Airbus A330
G-ZNX,British Airways,300,Airbus A350
NYLA,United Airlines,300,Airbus A350
HS-UBY,Thai Airways,180,Airbus A320
HS-LOE,Thai Airways,280,Boeing 787
G-EKB,British Airways,350,Boeing 777
B-UFI,Cathay Pacific,280,Boeing 787
G-YXB,British Airways,350,Boeing 777
B-OHZ,Cathay Pacific,280,Boeing 787
B-JYZ,Cathay Pacific,280,Boeing 787
G-IBD,British Airways,350,Boeing 777
HS-NEW,Thai Airways,180,Airbus A320
9V-NEW,Singapore Airlines,300,Airbus A350
A6-NEW,Emirates,350,Boeing 777
