AirportID,AirportName,City,Country
BKK,Suvarnabhumi Airport,Bangkok,Thailand
CNX,Chiang Mai International Airport,Chiang Mai,Thailand
HKT,Phuket International Airport,Phuket,Thailand
CEI,Chiang Rai International Airport,Chiang Rai,Thailand
UTH,Udon Thani International Airport,Udon Thani,Thailand
SIN,Changi Airport,Singapore,Singapore
HND,Haneda Airport,Tokyo,Japan
LHR,Heathrow Airport,London,United Kingdom
JFK,John F. Kennedy International Airport,New York,United States
DXB,Dubai International Airport,Dubai,United Arab Emirates
CDG,Charles de Gaulle Airport,Paris,France
FRA,Frankfurt Airport,Frankfurt,Germany
LAX,Los Angeles International Airport,Los Angeles,United States
HKG,Hong Kong International Airport,Hong Kong,China
DOH,Hamad International Airport,Doha,Qatar
ICN,Incheon International Airport,Seoul,South Korea
KUL,Kuala Lumpur International Airport,Kuala Lumpur,Malaysia
SYD,Sydney Kingsford Smith Airport,Sydney,Australia
