AircraftRegNo,Class,StandardPrice
HS-WOD,Economy,8236
HS-WOD,Business,32944
HS-XJF,Economy,6304
HS-XJF,Business,18912
HS-XJF,First,56736
HS-KLY,Economy,9981
HS-KLY,Business,39924
HS-PAO,Economy,7504
HS-PAO,Business,22512
HS-PAO,First,52528
HS-MOV,Economy,7812
HS-MOV,Business,23436
HS-MOV,First,70308
HS-LFA,Economy,5837
HS-LFA,Business,17511
HS-LFA,First,52533
HS-JRD,Economy,7418
HS-JRD,Business,29672
HS-HAX,Economy,7563
HS-HAX,Business,30252
HS-HAX,First,60504
HS-LUD,Economy,8235
HS-LUD,Business,24705
HS-RJP,Economy,7224
HS-RJP,Business,21672
HS-NQK,Economy,8765
HS-NQK,Business,35060
HS-NQK,First,87650
HS-FMV,Economy,8029
HS-FMV,Business,24087
HS-FMV,First,72261
HS-NWP,Economy,6007
HS-NWP,Business,18021
HS-QZK,Economy,5662
HS-QZK,Business,22648
HS-QZK,First,50958
HS-BIY,Economy,9696
HS-BIY,Business,38784
HS-VCA,Economy,7653
HS-VCA,Business,30612
HS-VCA,First,68877
HS-UDJ,Economy,5305
HS-UDJ,Business,21220
HS-XKD,Economy,7677
HS-XKD,Business,23031
HS-OYV,Economy,7844
HS-OYV,Business,31376
HS-DAK,Economy,6444
HS-DAK,Business,25776
HS-CVT,Economy,5516
HS-CVT,Business,16548
HS-UMN,Economy,9635
HS-UMN,Business,28905
HS-XEO,Economy,8534
HS-XEO,Business,25602
HS-XEO,First,51204
HS-WTP,Economy,7199
HS-WTP,Business,28796
HS-WTP,First,57592
HS-HTY,Economy,7763
HS-HTY,Business,23289
HS-FZL,Economy,6529
HS-FZL,Business,19587
HS-FZL,First,58761
HS-XVN,Economy,6074
HS-XVN,Business,18222
HS-AOZ,Economy,6077
HS-AOZ,Business,24308
HS-AOZ,First,42539
HS-ITH,Economy,5566
HS-ITH,Business,22264
HS-CFA,Economy,6109
HS-CFA,Business,18327
HS-GTO,Economy,9096
HS-GTO,Business,36384
HS-TPT,Economy,7405
HS-TPT,Business,22215
HS-BMW,Economy,8022
HS-BMW,Business,24066
HS-BMW,First,56154
HS-RNT,Economy,9971
HS-RNT,Business,29913
HS-RNT,First,99710
HS-XJT,Economy,8995
HS-XJT,Business,35980
HS-XQA,Economy,5570
HS-XQA,Business,22280
HS-WBK,Economy,8905
HS-WBK,Business,35620
HS-WBK,First,53430
HS-UHY,Economy,8385
HS-UHY,Business,25155
HS-UHY,First,75465
HS-MMH,Economy,5152
HS-MMH,Business,20608
HS-MCE,Economy,6415
HS-MCE,Business,19245
HS-MCE,First,57735
B-XRS,Economy,7005
B-XRS,Business,28020
B-XRS,First,70050
NTAP,Economy,7204
NTAP,Business,21612
B-ZMT,Economy,5540
B-ZMT,Business,22160
9V-KZS,Economy,5417
9V-KZS,Business,16251
G-NJV,Economy,7448
G-NJV,Business,22344
G-XHC,Economy,8093
G-XHC,Business,24279
F-YSZ,Economy,9228
F-YSZ,Business,27684
F-YSZ,First,92280
JAHSD,Economy,7660
JAHSD,Business,30640
9V-XNE,Economy,6306
9V-XNE,Business,25224
9V-XNE,First,44142
9V-NVT,Economy,7613
9V-NVT,Business,22839
9V-NVT,First,45678
9V-OSF,Economy,7637
9V-OSF,Business,30548
G-QYK,Economy,6994
G-QYK,Business,27976
G-UMZ,Economy,6610
G-UMZ,Business,26440
A6-BYB,Economy,9328
A6-BYB,Business,37312
A6-BYB,First,93280
D-AMMT,Economy,8427
D-AMMT,Business,25281
D-AMMT,First,75843
A6-WUI,Economy,7720
A6-WUI,Business,30880
A6-WUI,First,69480
A6-FWR,Economy,6876
A6-FWR,Business,20628
HS-GEY,Economy,5471
HS-GEY,Business,21884
HS-GEY,First,49239
HS-DNN,Economy,5592
HS-DNN,Business,22368
HS-DNN,First,33552
F-RET,Economy,9004
F-RET,Business,36016
F-RET,First,72032
F-VCJ,Economy,5739
F-VCJ,Business,17217
D-AHJV,Economy,5632
D-AHJV,Business,16896
D-AHJV,First,56320
D-AVIH,Economy,5193
D-AVIH,Business,15579
NTXC,Economy,9204
NTXC,Business,27612
NEMM,Economy,6398
NEMM,Business,19194
NFLH,Economy,6933
NFLH,Business,27732
NFLH,First,69330
F-AGP,Economy,5713
F-AGP,Business,17139
F-AYA,Economy,7083
F-AYA,Business,21249
F-AYA,First,63747
D-AYUY,Economy,9355
D-AYUY,Business,37420
D-AYUY,First,74840
A7-MKX,Economy,6775
A7-MKX,Business,20325
A7-IAT,Economy,7042
A7-IAT,Business,28168
A7-IAT,First,63378
F-YQH,Economy,6779
F-YQH,Business,27116
F-CYY,Economy,8127
F-CYY,Business,32508
HS-VXQ,Economy,5675
HS-VXQ,Business,17025
HS-VXQ,First,51075
HS-WRA,Economy,5056
HS-WRA,Business,15168
HS-WRA,First,40448
JAKYF,Economy,7862
JAKYF,Business,31448
9V-GSN,Economy,8586
9V-GSN,Business,34344
9V-ZKM,Economy,9642
9V-ZKM,Business,38568
NEOQ,Economy,9056
NEOQ,Business,27168
9V-MSN,Economy,8968
9V-MSN,Business,26904
9V-QXX,Economy,7739
9V-QXX,Business,30956
9V-QXX,First,46434
JAPIP,Economy,5560
JAPIP,Business,22240
A7-CRS,Economy,5389
A7-CRS,Business,16167
A7-CRS,First,53890
JAXVB,Economy,7881
JAXVB,Business,31524
JAXVB,First,70929
JAHJY,Economy,7069
JAHJY,Business,28276
JAGLR,Economy,8202
JAGLR,Business,24606
JAGLR,First,73818
JAEIP,Economy,9957
JAEIP,Business,29871
B-ZEB,Economy,9238
B-ZEB,Business,36952
B-ZEB,First,92380
A7-STH,Economy,9060
A7-STH,Business,36240
G-VYL,Economy,9542
G-VYL,Business,38168
G-ZNX,Economy,6953
G-ZNX,Business,20859
NYLA,Economy,8696
NYLA,Business,26088
NYLA,First,52176
HS-UBY,Economy,7454
HS-UBY,Business,22362
HS-LOE,Economy,7565
HS-LOE,Business,30260
G-EKB,Economy,6406
G-EKB,Business,25624
G-EKB,First,38436
B-UFI,Economy,6205
B-UFI,Business,18615
G-YXB,Economy,9051
G-YXB,Business,36204
G-YXB,First,63357
B-OHZ,Economy,8708
B-OHZ,Business,34832
B-JYZ,Economy,8185
B-JYZ,Business,24555
B-JYZ,First,73665
G-IBD,Economy,8697
G-IBD,Business,34788
G-IBD,First,86970
HS-NEW,Economy,5483
HS-NEW,Business,16449
9V-NEW,Economy,5841
9V-NEW,Business,23364
9V-NEW,First,35046
A6-NEW,Economy,7032
