FlightNo,ArrivalAirportID,DepartureAirportID,AirlineName,AircraftRegNo,ArrivalTime,AvailableSeat,DepartTime,TransitAmount
TG100,UTH,BKK,Thai Airways,HS-WOD,2025-09-25 04:36:26,138,2025-09-25 02:36:26,0
TG101,CNX,HKT,Thai Airways,HS-XJF,2025-09-30 01:40:37,108,2025-09-29 23:40:37,0
TG102,HKT,CNX,Thai Airways,HS-KLY,2025-10-05 01:40:37,237,2025-10-04 23:40:37,0
TG103,BKK,CNX,Thai Airways,HS-PAO,2025-10-12 08:37:56,260,2025-10-12 06:37:56,0
TG104,CNX,BKK,Thai Airways,HS-MOV,2025-10-17 07:37:56,114,2025-10-17 06:37:56,0
TG105,CNX,HKT,Thai Airways,HS-LFA,2025-09-23 20:18:38,158,2025-09-23 18:18:38,0
TG106,HKT,CNX,Thai Airways,HS-JRD,2025-09-27 20:18:38,176,2025-09-27 18:18:38,0
TG107,HKT,CNX,Thai Airways,HS-HAX,2025-10-08 07:01:56,90,2025-10-08 05:01:56,0
TG108,CNX,HKT,Thai Airways,HS-LUD,2025-10-12 06:01:56,186,2025-10-12 05:01:56,0
TG109,HKT,CNX,Thai Airways,HS-RJP,2025-09-10 01:29:35,97,2025-09-09 23:29:35,0
TG110,BKK,CNX,Thai Airways,HS-NQK,2025-09-18 04:42:52,173,2025-09-18 02:42:52,0
TG111,CNX,BKK,Thai Airways,HS-FMV,2025-09-19 04:42:52,270,2025-09-19 02:42:52,0
TG112,CNX,BKK,Thai Airways,HS-NWP,2025-10-22 02:37:25,135,2025-10-22 00:37:25,0
TG113,BKK,CNX,Thai Airways,HS-QZK,2025-10-25 01:37:25,192,2025-10-25 00:37:25,0
TG114,HKT,BKK,Thai Airways,HS-BIY,2025-09-23 18:36:59,235,2025-09-23 16:36:59,0
TG115,HKT,CNX,Thai Airways,HS-VCA,2025-09-29 17:37:07,96,2025-09-29 15:37:07,0
TG116,CNX,HKT,Thai Airways,HS-UDJ,2025-10-01 16:37:07,227,2025-10-01 15:37:07,0
TG117,CEI,BKK,Thai Airways,HS-XKD,2025-09-13 12:27:55,188,2025-09-13 11:27:55,0
TG118,UTH,BKK,Thai Airways,HS-OYV,2025-09-24 12:45:11,147,2025-09-24 11:45:11,0
TG119,BKK,UTH,Thai Airways,HS-DAK,2025-09-29 13:45:11,253,2025-09-29 11:45:11,0
TG120,HKT,CNX,Thai Airways,HS-CVT,2025-10-28 15:23:29,194,2025-10-28 14:23:29,0
TG121,CNX,BKK,Thai Airways,HS-UMN,2025-10-20 10:23:07,99,2025-10-20 08:23:07,0
TG122,BKK,CNX,Thai Airways,HS-XEO,2025-10-21 10:23:07,305,2025-10-21 08:23:07,0
TG123,UTH,CNX,Thai Airways,HS-WTP,2025-10-07 18:54:25,61,2025-10-07 17:54:25,0
TG124,HKT,CNX,Thai Airways,HS-HTY,2025-09-25 23:40:28,277,2025-09-25 21:40:28,0
TG125,HKT,CEI,Thai Airways,HS-FZL,2025-09-14 14:34:55,240,2025-09-14 13:34:55,0
TG126,CEI,HKT,Thai Airways,HS-XVN,2025-09-17 15:34:55,107,2025-09-17 13:34:55,0
TG127,CNX,CEI,Thai Airways,HS-AOZ,2025-09-25 03:52:51,255,2025-09-25 02:52:51,0
TG128,BKK,HKT,Thai Airways,HS-ITH,2025-09-23 14:30:25,166,2025-09-23 13:30:25,0
