FlightNo,DepartTime,ArrivalTime,ServiceID
AC137,2025-11-02 00:00:00,2025-11-02 05:00:00,1
AC137,2025-11-02 00:00:00,2025-11-02 05:00:00,9
AC137,2025-11-02 00:00:00,2025-11-02 05:00:00,2
AC137,2025-11-02 00:00:00,2025-11-02 05:00:00,4
AC137,2025-11-02 00:00:00,2025-11-02 05:00:00,6
AC137,2025-11-02 03:09:00,2025-11-02 18:00:00,3
AC137,2025-11-02 03:09:00,2025-11-02 18:00:00,11
AC137,2025-11-02 03:09:00,2025-11-02 18:00:00,8
AC137,2025-11-02 03:09:00,2025-11-02 18:00:00,10
AC137,2025-11-02 03:09:00,2025-11-02 18:00:00,12
AC137,2025-11-02 20:00:00,2025-11-03 04:00:00,5
AC137,2025-11-02 20:00:00,2025-11-03 04:00:00,14
AC137,2025-11-02 20:00:00,2025-11-03 04:00:00,13
AC137,2025-11-02 20:00:00,2025-11-03 04:00:00,15
AC137,2025-11-02 20:00:00,2025-11-03 04:00:00,17
SK141,2025-11-04 04:00:00,2025-11-04 07:00:00,7
SK141,2025-11-04 04:00:00,2025-11-04 07:00:00,16
SK141,2025-11-04 04:00:00,2025-11-04 07:00:00,19
SK141,2025-11-04 04:00:00,2025-11-04 07:00:00,21
SK141,2025-11-04 04:00:00,2025-11-04 07:00:00,23
SK141,2025-11-04 19:39:17,2025-11-04 21:00:00,18
SK141,2025-11-04 19:39:17,2025-11-04 21:00:00,20
SK141,2025-11-04 19:39:17,2025-11-04 21:00:00,25
SK141,2025-11-04 19:39:17,2025-11-04 21:00:00,27
SK141,2025-11-04 19:39:17,2025-11-04 21:00:00,29
AC137,2025-11-04 21:00:00,2025-11-05 01:00:00,22
AC137,2025-11-04 21:00:00,2025-11-05 01:00:00,24
AC137,2025-11-04 21:00:00,2025-11-05 01:00:00,2
AC137,2025-11-04 21:00:00,2025-11-05 01:00:00,8
AC137,2025-11-04 21:00:00,2025-11-05 01:00:00,13
