SeatNo,SeatType,IsAvailable,DepartTime,FlightNo,ArrivalTime
1A,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
1B,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
1C,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
1D,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
1E,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
1F,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
2A,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
2B,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
2C,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
2D,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
2E,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
2F,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
3A,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
3B,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
3C,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
3D,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
3E,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
3F,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
4A,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
4B,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
4C,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
4D,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
4E,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
4F,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
5A,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
5B,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
5C,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
5D,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
5E,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
5F,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
6A,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
6B,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
6C,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
6D,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
6E,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
6F,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
7A,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
7B,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
7C,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
7D,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
7E,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
7F,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
8A,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
8B,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
8C,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
8D,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
8E,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
8F,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
9A,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
9B,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
9C,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
9D,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
9E,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
9F,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
10A,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
10B,ECONOMY,true,2025-09-25 02:36:26,TG100,2025-09-25 04:36:26
